Country,Region,City,Name,Street,Zip,Latitude,Longitude
Portugal,Lisboa,Amadora,IKEA Alfragide,EN 117 Zona Industrial Alfragide,NaN,38.7289726,-9.216153845881054
Portugal,NaN,Braga,IKEA Braga,Av. Do Cavado CC Nova Arcada,NaN,41.57809445,-8.430960254146001
Portugal,NaN,Almancil,IKEA Loule,Avenida do Algarve n. 5,NaN,37.09737105,-7.995995875771184
Portugal,Lisboa,Loures,IKEA Loures,EN 250 Rua 38 de Setembro,NaN,38.8174094,-9.14808448669726
Portugal,NaN,Matosinhos,IKEA Matosinhos,Avenida Dr. Oscar Lopes,NaN,41.2103133,-8.688120462226685
Puerto Rico,NaN,San Juan,IKEA Bayamon,NaN,961,18.514536761274453,-66.15884692797636
Puerto Rico,NaN,Ponce,Punto IKEA ,NaN,NaN,17.998240566022183,-66.62943656110005
Qatar,NaN,Doha,IKEA Doha,253 Al Shamal Road,NaN,25.38783195269195,51.43978975638727
Romania,NaN,Bucharest,IKEA Baneasa,"Sector 1, Sos. Buchuresti-Ploiesti",NaN,44.50610401011578,26.08559853983009
Romania,NaN,Bucharest,IKEA Pallady,"Bvd Pallady no 57, Sector 3",NaN,44.40974160488604,26.20988075487566
Saudia Arabia,NaN,Dhahran,IKEA Dhahran,Prince Faisal Bin Fahad Street,NaN,26.309993936666757,50.16803838339813
Saudia Arabia,NaN,Jeddah,IKEA Jeddah,Prince Mohammed bin Abdulaziz,NaN,21.55709883164557,39.18357656979261
Saudia Arabia,NaN,Riyadh,IKEA Riyadh,Eastern Ring Road,NaN,24.97080442734182,47.085718631642166
Saudia Arabia,NaN,Thumama,IKEA Thumamah,Al Munsiyah,NaN,24.84746246878251,46.76380608336152
Serbia,Serbia,Beograd,IKEA Belgrad,Ulica Astrid Lindgren 11,11231,44.79231269483565,20.544616355963445
Serbia,Serbia,Novi Sad,IKEA Novi Sad,Bulevar vojvode Stepe 36,21000,45.339356520982776,19.808532415448635
Singapore,NaN,Alexandra,IKEA Alexandra,Alexandra Rd,159965,1.2878999,103.80603798155038
